rank,name,streamers,viewers
1,League of Legends,117,27384
2,Grand Theft Auto V,45,17778
3,Just Chatting,117,15805
4,VALORANT,264,15675
5,Dragon Quest Monsters: Terry no Wonderland SP,1,12029
6,Street Fighter 6,77,10630
7,Mamon King,15,6814
8,Escape from Tarkov,149,5557
9,ARC Raiders,90,4785
10,My Card Is Better Than Your Card!,1,2890
11,Apex Legends,296,2564
12,Overwatch 2,115,1541
13,Path of Exile 2,25,1273
14,Teamfight Tactics,24,1165
15,Dead by Daylight,83,1146
16,Minecraft,54,982
17,Resident Evil Zero,1,782
18,Art,34,722
19,ARK: Survival Ascended,20,708
20,FINAL FANTASY XIV ONLINE,53,663
21,Shadowverse: Worlds Beyond,15,572
22,Black Desert,10,549
23,Retro,13,479
24,7 Days to Die,15,451
25,Vampire Rain,1,412
26,ELDEN RING NIGHTREIGN,39,373
27,Pokémon Legends: Z-A,27,342
28,Genshin Impact,36,341
29,World of Tanks,14,308
30,Jinro Metropolis,2,298
31,Super Smash Bros. Ultimate,8,296
32,Monster Hunter Wilds,47,294
33,Wolf Game: The Wild Kingdom,1,282
34,Pawafuru Puroyakyu 2024-2025,2,271
35,INAZUMA ELEVEN: Victory Road,16,263
36,IRL,3,245
37,MIMESIS,9,241
38,Music,15,238
39,Delta Force,19,237
40,Fortnite,40,233
41,Marvel Rivals,18,214
42,"Animals, Aquariums, and Zoos",4,189
43,"Warhammer 40,000: Darktide",1,181
44,Always On,4,173
45,R.E.P.O.,18,169
46,osu!,14,159
47,Hearthstone,2,156
48,Tom Clancy's Rainbow Six Siege X,15,153
49,Super Mario 64,3,148
50,Escape from Duckov,9,138
