rank,name,streamers,viewers
1,Mamon King,4,16589
2,Teamfight Tactics,5,8210
3,Minecraft,1,4563
4,Apex Legends,5,3224
5,Escape from Tarkov,7,3210
6,Pokémon Legends: Z-A,4,2817
7,Just Chatting,8,2408
8,Mahou Shoujo no Majo Saiban,1,1975
9,VALORANT,7,1791
10,League of Legends,5,1554
11,Parcel Simulator,1,1264
12,ARC Raiders,4,1167
13,Shadowverse: Worlds Beyond,1,668
14,Street Fighter 6,3,655
15,PUBG: BATTLEGROUNDS,2,634
16,SaGa Frontier 2 Remastered,1,601
17,Factorio,1,468
18,Path of Exile 2,3,461
19,ASMR,3,441
20,Grand Theft Auto V,1,326
21,Overwatch 2,3,326
22,EA Sports FC 26,1,280
23,Retro,2,267
24,Jinro Metropolis,2,220
25,Dark and Darker,2,219
26,ARK: Survival Ascended,2,215
27,Music,2,212
28,Hearthstone,1,171
29,Dead by Daylight,1,169
30,Rust,2,162
31,ELDEN RING NIGHTREIGN,1,153
32,Marvel Rivals,1,149
33,SAEKO: Giantess Dating Sim,1,127
34,"Animals, Aquariums, and Zoos",1,126
35,FINAL FANTASY XIV ONLINE,1,125
36,Art,1,125
37,Shiren the Wanderer: The Tower of Fortune and the Dice of Fate,1,125
38,Genshin Impact,1,120
39,Persona 4 Golden,1,114
40,War Thunder,1,99
41,"This Ain’t Even Poker, Ya Joker",1,83
42,Yakuza 2,1,81
43,Paper Mario,1,78
44,,1,72
