rank,name,streamers,viewers,avg_viewers_per_stream
1,Just Chatting,3647,170362,46.71
2,ARC Raiders,3853,102955,26.72
3,IRL,383,62221,162.46
4,Liminal City,5,57175,11435.0
5,League of Legends,1618,52680,32.56
6,Grand Theft Auto V,2303,48741,21.16
7,Minecraft,2169,36487,16.82
8,Fortnite,4789,31788,6.64
9,Overwatch 2,1401,28980,20.69
10,Rust,232,25463,109.75
11,Dead by Daylight,1976,25427,12.87
12,I'm Only Sleeping,209,24933,119.3
13,Escape from Tarkov,967,24275,25.1
14,Teamfight Tactics,392,23987,61.19
15,Virtual Casino,38,22750,598.68
16,VALORANT,1822,22428,12.31
17,DARK SOULS II: Scholar of the First Sin,25,22364,894.56
18,Marvel Rivals,2022,18210,9.01
19,Counter-Strike,695,17740,25.53
20,Call of Duty: Warzone,2120,17709,8.35
21,World of Warcraft,699,16323,23.35
22,Special Events,60,13549,225.82
23,Pokémon Legends: Z-A,882,12965,14.7
24,ASMR,159,12539,78.86
25,Arena Breakout: Infinite,252,11860,47.06
26,Call of Duty: Black Ops 7,1398,11683,8.36
27,Of Ash and Steel,13,10428,802.15
28,Dota 2,437,10406,23.81
29,A.I.L.A,12,10072,839.33
30,Apex Legends,1348,9978,7.4
31,ELDEN RING,272,9344,34.35
32,Slots,41,8462,206.39
33,Always On,274,8455,30.86
34,Warframe,262,8050,30.73
35,ELDEN RING NIGHTREIGN,491,8012,16.32
36,Deadlock,128,7709,60.23
37,NBA 2K26,1744,7572,4.34
38,Hearthstone,73,7448,102.03
39,Art,511,6910,13.52
40,Music,563,6453,11.46
41,FINAL FANTASY XIV ONLINE,418,6207,14.85
42,Where Winds Meet,543,6132,11.29
43,Battlefield 6,863,5854,6.78
44,Legend of YMIR,79,5579,70.62
45,Retro,233,5368,23.04
46,Dispatch,134,5182,38.67
47,Madden NFL 26,964,5110,5.3
48,ROBLOX,1331,5095,3.83
49,The Outlast Trials,401,4762,11.88
50,Dreams,1,2,2.0
