rank,name,streamers,viewers
1,Alchemy Factory,8,5367
2,Mamon King,9,2637
3,Just Chatting,99,2626
4,Overwatch 2,111,2551
5,Teamfight Tactics,35,2387
6,PUBG: Black Budget,1,2143
7,Escape from Tarkov,130,2108
8,Apex Legends,315,1928
9,League of Legends,76,1927
10,VALORANT,179,1599
11,ARC Raiders,115,1063
12,Path of Exile 2,44,1063
13,Street Fighter 6,56,676
14,Black Desert,16,671
15,Dead by Daylight,66,637
16,ASMR,14,586
17,ELDEN RING NIGHTREIGN,37,515
18,FINAL FANTASY XIV ONLINE,30,453
19,Valkyrie Profile,1,388
20,Art,23,365
21,Eternal Return,6,337
22,Bread & Fred,1,326
23,Hearthstone,4,316
24,Shadowverse: Worlds Beyond,10,311
25,Retro,14,301
26,ARK: Survival Ascended,9,290
27,The Legend of Zelda: Breath of the Wild,1,257
28,Splatoon 3,28,237
29,Rust,13,232
30,Marvel Rivals,17,217
31,Dragon Quest I & II HD-2D Remake,8,205
32,Genshin Impact,28,192
33,Always On,6,181
34,Fortnite,28,176
35,Pokémon Legends: Z-A,34,171
36,Monster Hunter Wilds,48,166
37,INAZUMA ELEVEN: Victory Road,13,156
38,Hogwarts Legacy,21,155
39,Dark and Darker,4,149
40,OCTOPATH TRAVELER 0,13,148
41,Animal Crossing: New Horizons,10,142
42,R.E.P.O.,17,142
43,Zenless Zone Zero,8,125
44,Fushigi no Dungeon: Torneko no Daibouken,1,120
45,Grand Theft Auto V,22,118
46,Diablo IV,5,105
47,Resident Evil 5,1,99
48,Mega Man 7,1,97
49,Honkai: Star Rail,9,97
50,I'm on Observation Duty 8,1,96
