rank,name,streamers,viewers
1,Persona 5 Royal,1,2055
2,Escape from Tarkov,58,1408
3,League of Legends,61,1224
4,ASMR,16,1117
5,Hearthstone,5,1098
6,VALORANT,89,1053
7,Apex Legends,145,835
8,Grand Theft Auto V,12,803
9,Street Fighter 6,33,687
10,Teamfight Tactics,15,574
11,Just Chatting,51,548
12,ARC Raiders,46,539
13,Phantasy Star Online Ver. 2,1,436
14,FINAL FANTASY XIV ONLINE,22,382
15,Overwatch 2,36,370
16,Blue Protocol: Star Resonance,28,361
17,Rust,11,314
18,Phasmophobia,4,281
19,Warframe,3,262
20,Bread & Fred,1,255
21,Always On,5,222
22,ELDEN RING NIGHTREIGN,21,212
23,Dead by Daylight,33,206
24,Shadowverse: Worlds Beyond,5,183
25,Dark and Darker,7,177
26,"Animals, Aquariums, and Zoos",5,173
27,Monster Hunter Wilds,29,162
28,Path of Exile 2,18,158
29,Genshin Impact,15,157
30,Black Desert,8,156
31,Minecraft,24,151
32,Backpack Battles,1,149
33,For the King II,1,149
34,Shiren the Wanderer: The Tower of Fortune and the Dice of Fate,1,147
35,Retro,5,144
36,Refind Self: The Personality Test Game,1,138
37,Super Mario 64,2,130
38,Zenless Zone Zero,10,129
39,Dark Souls: Remastered,1,123
40,Mamon King,4,117
41,Ōkami HD,1,110
42,Fortnite,21,107
43,Animal Crossing: New Horizons,6,107
44,Software and Game Development,2,103
45,The Legend of Zelda: The Wind Waker,2,101
46,Honkai: Star Rail,3,95
47,World of Tanks,8,90
48,Art,12,90
49,Mario Kart World,1,87
50,Marvel Rivals,6,72
