rank,name,streamers,viewers
1,League of Legends,100,21794
2,Call of Duty: Black Ops 7,7,14185
3,Escape from Tarkov,114,3516
4,PowerWash Simulator 2,2,2704
5,Street Fighter 6,68,2093
6,Just Chatting,97,1986
7,VALORANT,150,1964
8,Teamfight Tactics,18,1720
9,MapleStory,1,1713
10,Apex Legends,220,1708
11,ARC Raiders,78,1491
12,Overwatch 2,70,958
13,Art,32,703
14,Blue Protocol: Star Resonance,54,690
15,FINAL FANTASY XIV ONLINE,41,656
16,Dark and Darker,12,548
17,Mamon King,2,547
18,Dead by Daylight,47,478
19,IRL,7,355
20,Black Desert,8,352
21,Path of Exile 2,21,278
22,Rust,5,257
23,Monster Hunter Wilds,56,246
24,Hearthstone,2,221
25,Retro,11,215
26,World of Tanks,4,206
27,Jinro Metropolis,3,194
28,7 Days to Die,11,188
29,Genshin Impact,15,186
30,ELDEN RING NIGHTREIGN,33,176
31,Always On,5,175
32,Honkai: Star Rail,9,167
33,"Animals, Aquariums, and Zoos",5,166
34,FINAL FANTASY X,2,140
35,Shadowverse: Worlds Beyond,3,133
36,Wuthering Waves,7,127
37,Ninja 外伝 II: The Dark Sword of Chaos,1,124
38,The Legend of Zelda: A Link Between Worlds,1,121
39,Fortnite,26,118
40,Little Nightmares III,2,103
41,Minecraft,24,96
42,R.E.P.O.,15,94
43,The Conveni 2 - Zenkoku Chain Tenkaida!,1,91
44,Yakuza 0,1,91
45,ASMR,16,91
46,Beautiful Katamari,1,84
47,Marvel Rivals,6,81
48,OCTOPATH TRAVELER 0,6,79
49,Slay the Spire,2,78
50,Grand Theft Auto V,11,76
