rank,name,streamers,viewers
1,Just Chatting,110,32603
2,Street Fighter 6,84,18165
3,Escape from Tarkov,155,17225
4,League of Legends,112,16194
5,Path of Exile 2,45,11816
6,Dragon Quest Monsters: Terry no Wonderland SP,1,10879
7,Overwatch 2,115,4629
8,VALORANT,239,3381
9,Mamon King,18,3193
10,Apex Legends,297,2841
11,Alchemy Factory,5,2344
12,Pokémon UNITE,6,1546
13,Dead by Daylight,73,1450
14,ARC Raiders,102,1316
15,Retro,14,1250
16,Black Desert,18,1001
17,FINAL FANTASY XIV ONLINE,49,823
18,ASMR,8,709
19,Teamfight Tactics,27,671
20,Momotaro Dentetsu 2: Anata no Machi mo Kitto aru,3,647
21,FINAL FANTASY XV,1,608
22,Art,31,531
23,Dragon Quest III: The Seeds of Salvation,4,450
24,Splatoon 3,47,441
25,ELDEN RING NIGHTREIGN,40,428
26,Super Mario 64,5,381
27,Dark and Darker,5,354
28,Pokémon Legends: Z-A,36,352
29,DJs,2,314
30,Hearthstone,2,311
31,Delta Force,13,295
32,R.E.P.O.,33,266
33,Rust,21,261
34,Tom Clancy's Rainbow Six Siege X,17,260
35,Pawafuru Puroyakyu 2024-2025,2,252
36,Eternal Return,4,248
37,Genshin Impact,28,241
38,World of Tanks,9,241
39,Battlefield 6,14,236
40,Agreeee,4,232
41,Minecraft,37,222
42,Where Winds Meet,9,213
43,Monster Hunter Wilds,32,213
44,Marvel Rivals,21,208
45,Special Events,4,198
46,Super Smash Bros. Ultimate,5,196
47,Shadowverse: Worlds Beyond,7,193
48,OCTOPATH TRAVELER 0,15,193
49,GUILTY GEAR -STRIVE-,5,187
50,IRL,6,175
