rank,name,streamers,viewers
1,Just Chatting,200,39811
2,Yakuza Kiwami 2,2,34872
3,Escape from Tarkov,102,26372
4,League of Legends,115,15727
5,ARC Raiders,94,12185
6,VALORANT,195,11080
7,Street Fighter 6,97,8926
8,Overwatch 2,112,5251
9,Apex Legends,206,4611
10,MIMESIS,36,3349
11,R.E.P.O.,23,3224
12,Dragon Quest I & II HD-2D Remake,10,2998
13,ELDEN RING NIGHTREIGN,36,2918
14,Art,39,2613
15,Agreeee,3,2258
16,Black Desert,9,1583
17,Dead by Daylight,89,1394
18,FINAL FANTASY XIV ONLINE,62,1306
19,Path of Exile 2,20,1119
20,Noita,3,1110
21,Amagami,2,1088
22,Music,16,1040
23,Blue Protocol: Star Resonance,34,1017
24,Teamfight Tactics,16,959
25,Grand Theft Auto V,30,855
26,Minecraft,41,845
27,Deviation Game,2,827
28,Rust,22,778
29,Shenmue III,1,777
30,ASMR,8,737
31,Monster Hunter Wilds,71,706
32,Super Smash Bros. Ultimate,16,657
33,Splatoon 3,29,591
34,Mario Kart World,7,590
35,Alchemy Factory,1,567
36,Fortnite,24,555
37,Pokémon Legends: Z-A,25,549
38,Genshin Impact,25,536
39,Shadowverse: Worlds Beyond,15,521
40,TEKKEN 8,6,513
41,EA Sports FC 26,7,471
42,Magic: The Gathering,3,470
43,Little Nightmares,1,462
44,ARK: Survival Ascended,7,435
45,Retro,11,413
46,Raft,2,363
47,Special Events,8,342
48,Hearthstone,2,330
49,Dark and Darker,5,324
50,Mahjong Soul,15,308
