rank,name,streamers,viewers
1,MIMESIS,26,56159
2,Just Chatting,160,17100
3,Escape from Tarkov,101,16086
4,Cloverpit,1,15681
5,League of Legends,109,10277
6,Apex Legends,338,8852
7,Teamfight Tactics,16,8172
8,Mamon King,12,7298
9,ELDEN RING NIGHTREIGN,41,7149
10,Minecraft,60,6858
11,Inazuma Eleven GO: Chrono Stones - Thunderflash,1,6776
12,ARC Raiders,72,6728
13,Eternal Return,12,5404
14,Street Fighter 6,72,5015
15,Gartic Phone,1,4424
16,VALORANT,225,4252
17,Dead by Daylight,86,3558
18,Overwatch 2,115,2813
19,Rhythm Doctor,3,2653
20,PUBG: BATTLEGROUNDS,21,2493
21,FINAL FANTASY XIV ONLINE,67,1199
22,ASMR,6,1107
23,Clair Obscur: Expedition 33,2,1094
24,Hogwarts Legacy,12,989
25,Retro,17,930
26,Path of Exile 2,17,892
27,ARK: Survival Ascended,11,850
28,Black Desert,12,844
29,Suika Game,1,835
30,Grand Theft Auto V,55,812
31,Art,29,750
32,Pokémon Legends: Z-A,38,664
33,ZAKO NO AHIRU,1,643
34,Rust,22,639
35,Special Events,7,635
36,Agreeee,10,604
37,Hearthstone,9,558
38,Dragon Quest III: The Seeds of Salvation,1,493
39,Genshin Impact,24,408
40,Splatoon 3,41,406
41,Music,12,336
42,Monster Hunter Wilds,32,313
43,Super Mario Maker 2,2,288
44,Super Smash Bros. Ultimate,4,273
45,Danganronpa: Trigger Happy Havoc,3,259
46,DJs,5,254
47,Mario Kart World,3,251
48,Arkheron,11,248
49,Tom Clancy's Rainbow Six Siege X,9,245
50,VRChat,8,228
