rank,name,streamers,viewers
1,Mamon King,4,56916
2,Just Chatting,14,19621
3,Teamfight Tactics,6,9548
4,League of Legends,15,8795
5,Apex Legends,9,8770
6,Deviation Game,1,7811
7,Inazuma Eleven GO: Chrono Stones - Thunderflash,1,4658
8,ARC Raiders,8,4355
9,Minecraft,1,4190
10,Street Fighter 6,2,3797
11,ASMR,3,3172
12,VALORANT,3,2632
13,ARK: Survival Ascended,1,2397
14,Pokémon Legends: Z-A,3,2362
15,Mahou Shoujo no Majo Saiban,1,1969
16,Momotaro Dentetsu 2: Anata no Machi mo Kitto aru,3,1698
17,Overwatch 2,2,1603
18,,3,1538
19,Grand Theft Auto V,2,1134
20,Escape from Tarkov,2,1096
21,Shadowverse: Worlds Beyond,1,973
22,Amagami,1,944
23,MIMESIS,2,723
24,Stardew Valley,1,455
25, SEKIRO: SHADOWS DIE TWICE,1,442
26,Pawafuru Puroyakyu 2024-2025,1,428
27,Magic: The Gathering,1,343
28,Black Desert,1,330
29,It Takes Two,1,293
30,R.E.P.O.,1,225
31,ELDEN RING NIGHTREIGN,1,209
32,Gunfire Reborn,1,203
33,Dead by Daylight,1,177
