rank,name,streamers,viewers
1,League of Legends,37,14848
2,Escape from Tarkov,77,9915
3,Just Chatting,56,1932
4,Street Fighter 6,32,1813
5,ARC Raiders,55,1704
6,VALORANT,91,1200
7,Apex Legends,116,836
8,Alchemy Factory,5,667
9,Overwatch 2,44,620
10,Teamfight Tactics,14,388
11,Blue Protocol: Star Resonance,27,384
12,SUPER GHOULS'N GHOSTS,1,369
13,ASMR,17,346
14,Hearthstone,4,302
15,FINAL FANTASY XIV ONLINE,15,283
16,Art,19,262
17,Monster Hunter Wilds,28,246
18,Raft,1,232
19,beatmania IIDX INFINITAS,1,205
20,Lies of P,1,203
21,IRL,3,197
22,Always On,5,194
23,Shadowverse: Worlds Beyond,6,186
24,ELDEN RING NIGHTREIGN,14,173
25,Black Desert,1,146
26,Honkai: Star Rail,6,143
27,Backpack Battles,1,143
28,Steam,1,142
29,Minecraft,17,138
30,"Animals, Aquariums, and Zoos",3,135
31,INAZUMA ELEVEN: Victory Road,4,133
32,Last Laugh,1,123
33,Dead by Daylight,18,119
34,Shiren the Wanderer: The Tower of Fortune and the Dice of Fate,1,111
35,Albion Online,1,107
36,Path of Exile 2,13,105
37,Genshin Impact,17,99
38,The Legend of Zelda: The Wind Waker,1,94
39,ARK: Survival Ascended,1,88
40,The Case of the Golden Idol,1,81
41,Fortnite,13,72
42,Animal Crossing: New Horizons,5,70
43,Retro,3,68
44,Dark and Darker,2,68
45,Rust,7,62
46,Street Fighter V,1,57
47,Dragon Quest I & II HD-2D Remake,5,56
48,Eternal Return,3,53
49,Escape from Duckov,5,50
50,Marvel Rivals,12,48
