rank,name,streamers,viewers
1,Minecraft,82,18479
2,Street Fighter 6,62,16928
3,Escape from Tarkov,114,12771
4,Dragon Quest Monsters: Terry no Wonderland SP,1,11142
5,League of Legends,107,8109
6,Teamfight Tactics,24,7294
7,VALORANT,284,3763
8,Just Chatting,128,3523
9,Mamon King,1,3223
10,ARC Raiders,107,2887
11,Apex Legends,316,2254
12,Jinro Metropolis,1,2230
13,Overwatch 2,117,1909
14,Pokémon Legends: Z-A,24,1421
15,Grand Theft Auto V,121,1060
16,PUBG: BATTLEGROUNDS,9,794
17,Dead by Daylight,74,736
18,ASMR,7,720
19,FINAL FANTASY VIII Remastered,3,677
20,Mega Man 7,1,675
21,FINAL FANTASY XIV ONLINE,44,617
22,Path of Exile 2,32,558
23,ELDEN RING NIGHTREIGN,40,537
24,Art,19,490
25,Black Desert,5,481
26,Rust,32,465
27,Dispatch,1,448
28,Mamon King,11,447
29,Splatoon 3,34,434
30,DJs,3,427
31,Hearthstone,4,385
32,Genshin Impact,15,298
33,Where Winds Meet,5,274
34,Eternal Return,2,272
35,Magic: The Gathering,2,239
36,Yakuza Kiwami,1,238
37,EA Sports FC 26,1,224
38,Kirby Air Riders,7,224
39,Super Smash Bros. Ultimate,3,222
40,Retro,9,206
41,Always On,3,190
42,World of Tanks,6,181
43,PokéPark 2: Wonders Beyond,2,168
44,SILENT HILL ƒ,7,164
45,Monster Hunter Wilds,27,164
46,Shadowverse: Worlds Beyond,8,162
47,INAZUMA ELEVEN: Victory Road,11,157
48,Arena Breakout: Infinite,7,148
49,R.E.P.O.,27,147
50,Dragon Quest I & II HD-2D Remake,8,145
