rank,name,streamers,viewers
1,League of Legends,45,2502
2,Just Chatting,59,1929
3,Escape from Tarkov,64,1364
4,Clair Obscur: Expedition 33,2,1196
5,VALORANT,87,1117
6,Apex Legends,114,955
7,ASMR,18,714
8,Overwatch 2,44,674
9,ARC Raiders,33,624
10,Street Fighter 6,24,589
11,Teamfight Tactics,13,555
12,Shawarma Legend,1,509
13,FINAL FANTASY XIV ONLINE,30,409
14,Path of Exile 2,14,328
15,Dead by Daylight,21,300
16,Monster Hunter Wilds,36,279
17,ELDEN RING NIGHTREIGN,19,212
18,Always On,4,210
19,7 Days to Die,9,200
20,IRL,2,177
21,Shadowverse: Worlds Beyond,4,163
22,Art,14,149
23,"Animals, Aquariums, and Zoos",5,148
24,Raft,1,140
25,Genshin Impact,16,134
26,Tingus Goose,1,128
27,Mouthwashing,1,127
28,Honkai: Star Rail,14,118
29,Dark Souls: Remastered,1,112
30,Zenless Zone Zero,5,107
31,Dark and Darker,3,94
32,"Papers, Please",1,90
33,Fortnite,13,89
34,Ōkami HD,1,83
35,Super Mario World,1,79
36,Marvel Rivals,7,75
37,Minecraft,11,73
38,Tales of Destiny II,2,68
39,Retro,5,65
40,Splatoon 3,9,61
41,DayZ,2,58
42,PUBG: BATTLEGROUNDS,6,53
43,The Legend of Zelda: Twilight Princess,1,52
44,Hearthstone,1,47
45,Fallout 76,2,41
46,Warframe,6,40
47,STORY OF SEASONS: Grand Bazaar,2,39
48,OCTOPATH TRAVELER 0,3,38
49,Animal Crossing: City Folk,1,36
50,R.E.P.O.,5,32
