rank,name,streamers,viewers
1,Mamon King,7,70544
2,VALORANT,8,47025
3,Escape from Tarkov,8,12155
4,League of Legends,12,8178
5,ARC Raiders,10,4456
6,Dead by Daylight,3,4211
7,Overwatch 2,5,3851
8,Platform 6 Online,3,2072
9,Street Fighter 6,3,1468
10,Teamfight Tactics,2,1441
11,Just Chatting,6,1221
12,Minecraft,3,1080
13,ASMR,2,840
14,Resident Evil Zero,1,778
15,Pokémon Legends: Z-A,2,732
16,Black Desert,2,594
17,Hearthstone,1,431
18,Eternal Return,1,406
19,Tom Clancy's Rainbow Six Siege X,1,344
20,SILENT HILL ƒ,1,331
21,ELDEN RING NIGHTREIGN,2,313
22,Heavy Rain,1,309
23,Japan Stigmatized Property,1,255
24,Apex Legends,1,210
25,Arena Breakout: Infinite,1,201
26,Dark and Darker,1,191
27,DJs,1,191
28,Rust,1,169
29,"Animals, Aquariums, and Zoos",1,168
30,Delta Force,1,158
31,IRL,1,147
32,Shadowverse: Worlds Beyond,1,141
33,Rhythm Doctor,1,140
34,Dark History,1,134
35,World of Tanks,1,129
36,ARK: Survival Ascended,1,128
37,Sutte Hakkun,1,124
