rank,name,streamers,viewers
1,Persona 5 Royal,1,2199
2,Escape from Tarkov,71,1735
3,League of Legends,62,1591
4,Apex Legends,180,1493
5,Hearthstone,5,1266
6,VALORANT,111,1191
7,ASMR,17,1154
8,Street Fighter 6,41,880
9,Just Chatting,52,632
10,Teamfight Tactics,18,612
11,ARC Raiders,59,551
12,FINAL FANTASY XIV ONLINE,24,540
13,Blue Protocol: Star Resonance,29,494
14,Overwatch 2,43,455
15,Rust,12,430
16,Bread & Fred,1,325
17,Path of Exile 2,18,296
18,Dead by Daylight,35,293
19,Phasmophobia,6,281
20,Art,19,279
21,Monster Hunter Wilds,39,246
22,ELDEN RING NIGHTREIGN,20,240
23,Black Desert,8,231
24,Retro,10,217
25,Dark and Darker,8,208
26,Super Mario 64,2,205
27,Warframe,2,203
28,Backpack Battles,1,187
29,Always On,4,161
30,For the King II,1,157
31,Shadowverse: Worlds Beyond,2,153
32,"Animals, Aquariums, and Zoos",5,153
33,Shiren the Wanderer: The Tower of Fortune and the Dice of Fate,1,153
34,Dark Souls: Remastered,1,151
35,Minecraft,23,147
36,Refind Self: The Personality Test Game,1,144
37,Zenless Zone Zero,7,143
38,The Legend of Zelda: The Wind Waker,1,110
39,TEKKEN 8,3,101
40,Star Ocean: The Second Story R,1,97
41,Ōkami HD,1,95
42,Diablo IV,3,95
43,Marvel Rivals,6,93
44,World of Tanks,4,93
45,Animal Crossing: New Horizons,2,93
46,Mamon King,2,92
47,Honkai: Star Rail,6,91
48,Software and Game Development,2,83
49,PUBG: BATTLEGROUNDS,6,81
50,Easy Delivery Co.,1,64
