rank,name,streamers,viewers
1,Just Chatting,97,7368
2,League of Legends,100,4735
3,Mamon King,6,3420
4,Escape from Tarkov,111,3029
5,Resident Evil 2,1,2757
6,ARC Raiders,83,2411
7,VALORANT,179,2210
8,Teamfight Tactics,23,1884
9,Overwatch 2,69,1874
10,Apex Legends,253,1816
11,Street Fighter 6,41,1670
12,SILENT HILL ƒ,1,1494
13,Hearthstone,4,1024
14,FINAL FANTASY XIV ONLINE,65,838
15,ASMR,20,647
16,Dead by Daylight,51,602
17,Art,31,523
18,Honkai: Star Rail,49,454
19,Retro,6,410
20,Path of Exile 2,22,388
21,IRL,5,379
22,Ghost of Yōtei,2,313
23,Monster Hunter Wilds,74,299
24,World of Tanks,8,238
25,Shadowverse: Worlds Beyond,3,224
26,Black Desert,7,211
27,Tom Clancy's The Division 2,9,175
28,Marvel Rivals,14,152
29,Always On,3,138
30,ELDEN RING NIGHTREIGN,23,136
31,Fortnite,34,136
32,Dark and Darker,1,133
33,Genshin Impact,19,127
34,Hollow Knight,1,121
35,Phoenix Wright: Ace Attorney - Dual Destinies,1,118
36,Super Smash Bros. Ultimate,4,109
37,Linda³ Kanzenban,1,105
38,Beautiful Katamari,1,104
39,Delta Force,13,91
40,R.E.P.O.,11,89
41,Dragon Quest III: The Seeds of Salvation,1,87
42,Eternal Return,7,86
43,FINAL FANTASY X,1,85
44,Splatoon 3,8,81
45,Special Events,1,81
46,VRChat,10,77
47,Battlefield 6,6,73
48,Jinro Metropolis,2,70
49,Minecraft,25,68
50,Rust,3,67
