rank,name,streamers,viewers
1,Street Fighter 6,18,3893
2,Pokémon Legends: Z-A,17,2508
3,Jinro Metropolis,1,2342
4,Overwatch 2,58,1720
5,Escape from Tarkov,86,1650
6,VALORANT,140,1394
7,Teamfight Tactics,23,1143
8,League of Legends,65,1051
9,ARC Raiders,47,1022
10,Apex Legends,159,778
11,ASMR,16,726
12,Just Chatting,71,679
13,Grand Theft Auto V,46,558
14,Talk Shows & Podcasts,1,521
15,Art,20,511
16,FINAL FANTASY XIV ONLINE,17,393
17,Dead by Daylight,31,391
18,Where Winds Meet,3,366
19,Path of Exile 2,26,361
20,Donkey Kong Country 2: Diddy's Kong-Quest,2,317
21,Factorio,1,295
22,Black Desert,6,292
23,Mega Man 8,1,270
24,Retro,8,246
25,Splatoon 3,12,229
26,Always On,5,228
27,Rust,16,228
28,ELDEN RING NIGHTREIGN,23,216
29,The Legend of Zelda: Breath of the Wild,2,179
30,Genshin Impact,18,176
31,"Animals, Aquariums, and Zoos",4,157
32,Minecraft,27,145
33,Shiren the Wanderer: The Tower of Fortune and the Dice of Fate,1,134
34,Destiny 2,34,122
35,Fortnite,28,116
36,INAZUMA ELEVEN: Victory Road,5,110
37,Monster Hunter Wilds,15,107
38,Honkai: Star Rail,9,104
39,Eternal Return,1,100
40,MapleStory,4,98
41,PokéPark 2: Wonders Beyond,1,97
42,Resident Evil 5,1,83
43,EA Sports FC 26,1,82
44,Paper Mario,1,76
45,HANEHOLO!,1,69
46,7 Days to Die,5,62
47,Dragon Quest I & II HD-2D Remake,4,62
48,Gwent: The Witcher Card Game,1,60
49,Zenless Zone Zero,4,58
50,Sir Fallen,1,54
