rank,name,streamers,viewers
1,Escape from Tarkov,92,7784
2,Cut That Wire,2,3598
3,Agreeee,2,3525
4,Teamfight Tactics,26,3429
5,League of Legends,76,2740
6,VALORANT,179,2684
7,Apex Legends,198,2459
8,ELDEN RING NIGHTREIGN,34,1586
9,Just Chatting,74,1483
10,OCTOPATH TRAVELER 0,8,1297
11,Dead by Daylight,46,1205
12,ARC Raiders,54,1191
13,Overwatch 2,64,1126
14,Hearthstone,2,1103
15,ASMR,16,979
16,Art,30,763
17,Yu-Gi-Oh! Master Duel,1,705
18,Grand Theft Auto V,52,648
19,FINAL FANTASY XIV ONLINE,31,577
20,Minecraft,30,553
21,Street Fighter 6,39,359
22,Dark and Darker,5,279
23,Genshin Impact,21,254
24,My Little Puppy,1,249
25,Shadowverse: Worlds Beyond,7,245
26,Pokémon Legends: Z-A,25,236
27,Music,5,212
28,Wuthering Waves,8,171
29,Black Desert,4,151
30,Phantasy Star Online Ver. 2,1,147
31,Eternal Return,5,120
32,Honkai: Star Rail,7,119
33,The Nightmare of Druaga: Fushigino Dungeon,1,118
34,Dark Souls: Remastered,1,118
35,EA Sports FC 26,2,118
36,World of Tanks,4,117
37,Monster Hunter Wilds,28,114
38,Special Events,1,111
39,FINAL FANTASY VIII Remastered,1,111
40,"Animals, Aquariums, and Zoos",4,109
41,Persona 4 Golden,1,100
42,Counter-Strike,2,99
43,Resident Evil,1,98
44,Always On,4,97
45,Tom Clancy's Rainbow Six Siege X,9,93
46,7 Days to Die,9,88
47,ZAKO NO AHIRU,1,80
48,R.E.P.O.,11,78
49,Arena Breakout: Infinite,8,76
50,Splatoon 3,16,75
