rank,name,streamers,viewers
1,Shadowverse: Worlds Beyond,35,44860
2,League of Legends,249,21747
3,Minecraft,47,14876
4,Mamon King,13,14288
5,Street Fighter 6,74,13591
6,VALORANT,220,10506
7,Teamfight Tactics,19,8523
8,Just Chatting,126,5395
9,Dead by Daylight,58,4165
10,Overwatch 2,128,4007
11,Apex Legends,291,3745
12,ELDEN RING NIGHTREIGN,42,2682
13,ARC Raiders,66,1890
14,Escape from Tarkov,110,1776
15,Black Desert,17,1773
16,Path of Exile 2,31,1771
17,Eternal Return,7,1344
18,Hogwarts Legacy,12,1011
19,FINAL FANTASY XIV ONLINE,50,922
20,Pokémon Legends: Z-A,35,827
21,Resident Evil Zero,1,797
22,Super Smash Bros. Ultimate,8,680
23,7 Days to Die,4,618
24,Art,37,595
25,Zenless Zone Zero,11,591
26,Dispatch,1,577
27,PUBG: BATTLEGROUNDS,21,560
28,Special Events,6,488
29,Lightyear Frontier,1,452
30,Rust,23,445
31,PUBG: Black Budget,7,420
32,Dragon Quest III: The Seeds of Salvation,2,410
33, SEKIRO: SHADOWS DIE TWICE,7,404
34,Danganronpa: Trigger Happy Havoc,3,403
35,Retro,13,402
36,Genshin Impact,19,401
37,Kirby Air Riders,9,388
38,Clock Tower II: The Struggle Within,1,384
39,Mahjong Soul,7,384
40,Splatoon 3,35,382
41,Monster Hunter Wilds,39,308
42,Hearthstone,5,285
43,Grand Theft Auto V,35,269
44,Overcooked! 2,3,258
45,World of Tanks,10,240
46,Momotaro Dentetsu 2: Anata no Machi mo Kitto aru,4,238
47,VRChat,10,233
48,Tom Clancy's Rainbow Six Siege X,21,228
49,Marvel Rivals,18,225
50,SILENT HILL ƒ,9,212
