rank,name,streamers,viewers
1,Path of Exile 2,6,3049
2,Mamon King,1,2398
3,Alchemy Factory,1,2397
4,League of Legends,8,1882
5,Pokémon Legends: Z-A,2,1508
6,Escape from Tarkov,9,1026
7,Just Chatting,5,914
8,VALORANT,6,486
9,Factorio,1,433
10,Overwatch 2,4,307
11,ARC Raiders,3,284
12,FINAL FANTASY TACTICS - The Ivalice Chronicles,1,229
13,Hearthstone,2,222
14,Jinro Metropolis,2,214
15,ASMR,2,198
16,Shiren the Wanderer: The Tower of Fortune and the Dice of Fate,1,198
17,ARK: Survival Ascended,1,186
18,Always On,3,161
19,Street Fighter 6,2,142
20,ELDEN RING NIGHTREIGN,1,131
21,Shadowverse: Worlds Beyond,1,130
22,"Animals, Aquariums, and Zoos",1,120
23,Dark and Darker,1,117
24,Music,1,113
25,Apex Legends,2,111
26,Hextech Mayhem: A League of Legends Story,1,105
27,BLEACH Rebirth of Souls,1,100
28,Mosaic of the Pharaohs,1,95
29,"Warhammer 40,000: Darktide",1,91
30,Retro,1,90
31,Sakuna: Of Rice and Ruin,1,90
32,Rust,1,84
33,Ōkami HD,1,84
34,PokéPark 2: Wonders Beyond,1,83
35,Black Desert,1,81
36,Teamfight Tactics,1,75
37,Dragon Quest III HD-2D Remake,1,72
38,Resident Evil 4,1,67
39,,1,66
40,MapleStory,1,65
41,Genshin Impact,1,61
42,7 Days to Die,1,60
43,Diablo IV,1,59
44,EA Sports FC 26,1,58
45,Lies of P,1,55
46,Tom Clancy's The Division,1,52
47,Dead by Daylight,1,52
48,Wuthering Waves,1,50
49,TEKKEN 8,1,49
50,Escape from Duckov,1,48
51,PUBG: Black Budget,1,45
52,Zenless Zone Zero,1,43
53,Minecraft,1,41
54,FINAL FANTASY XIV ONLINE,1,38
55,Magic: The Gathering,1,38
56,The Witcher 3: Wild Hunt,1,37
