rank,name,streamers,viewers
1,Call of Duty: Black Ops 7,4,12186
2,ARC Raiders,86,8854
3,League of Legends,122,8629
4,Clubhouse Games: 51 Worldwide Classics,1,7923
5,Just Chatting,164,7355
6,Apex Legends,292,5714
7,VALORANT,249,2768
8,Pokémon Legends: Z-A,26,2737
9,Overwatch 2,113,2664
10,Dragon Quest I & II HD-2D Remake,6,2537
11,Escape from Tarkov,128,2473
12,ELDEN RING NIGHTREIGN,38,2423
13,Jinro Metropolis,6,2356
14,Street Fighter 6,74,2168
15,Teamfight Tactics,19,2020
16,Grand Theft Auto V,91,1988
17,Minecraft,54,1597
18,Dead by Daylight,90,1576
19,Chocobo's Dungeon 2,2,1538
20,Shadowverse: Worlds Beyond,13,1467
21,Amagami,1,1077
22,FINAL FANTASY XIV ONLINE,62,1057
23,ASMR,7,984
24,Blue Protocol: Star Resonance,39,979
25,Minesweeper Ultimate,1,830
26,Monster Hunter Wilds,56,794
27,OCTOPATH TRAVELER 0,6,636
28,Art,30,595
29,Path of Exile 2,16,586
30,Rust,29,551
31,Rhythm Doctor,1,494
32,Hearthstone,6,480
33,DJs,5,397
34,Euro Truck Simulator 2,1,390
35,Super Smash Bros. Ultimate,6,354
36,Dark and Darker,6,306
37,Black Desert,6,238
38,UNDERTALE,2,230
39,FINAL FANTASY VIII Remastered,2,224
40,Pomegranate Housing Complex,1,208
41,World of Tanks,9,204
42,Wuthering Waves,11,202
43,EA Sports FC 26,1,198
44,I'm Only Sleeping,1,186
45,Kirby Air Riders,11,183
46,7 Days to Die,15,182
47,Music,4,173
48,Retro,9,165
49,Honkai: Star Rail,8,153
50,Fortnite,24,150
