rank,name,streamers,viewers
1,League of Legends,114,15452
2,Escape from Tarkov,151,15038
3,VALORANT,242,13881
4,Street Fighter 6,102,13489
5,Rhythm Doctor,1,9405
6,Just Chatting,110,8261
7,ARC Raiders,85,4495
8,Legends of Runeterra,1,2896
9,Apex Legends,307,2169
10,Jinro Metropolis,3,2006
11,Music,13,1973
12,Eternal Return,5,1589
13,Overwatch 2,111,1415
14,Teamfight Tactics,25,1167
15,Monster Hunter Wilds,228,1152
16,FINAL FANTASY XIV ONLINE,25,996
17,Hearthstone,2,989
18,Dead by Daylight,73,890
19,Path of Exile 2,32,791
20,Black Desert,10,702
21,Art,36,663
22,The Sushi House,1,661
23,ELDEN RING NIGHTREIGN,33,505
24,7 Days to Die,19,483
25,Real Moon,1,420
26,Shadowverse: Worlds Beyond,9,391
27,Pokémon Legends: Z-A,31,322
28,Retro,9,301
29,ASMR,15,285
30,Fortnite,64,268
31,IRL,6,266
32,Tom Clancy's Rainbow Six Siege X,13,255
33,World of Tanks,5,226
34,Super Smash Bros. Ultimate,3,205
35,Genshin Impact,30,203
36,SILENT HILL ƒ,8,197
37,Battlefield 6,9,164
38,Marvel Rivals,16,163
39,Backpack Battles,3,162
40,Food & Drink,8,162
41,"Animals, Aquariums, and Zoos",5,159
42,Strinova,9,155
43,Minecraft,40,149
44,Terminator 2D: NO FATE,1,148
45,Dark and Darker,4,147
46,Splatoon 3,18,139
47,R.E.P.O.,9,124
48,ARK: Survival Ascended,9,122
49,Delta Force,13,111
50,Clair Obscur: Expedition 33,2,110
