rank,name,streamers,viewers
1,Escape from Tarkov,81,7734
2,VALORANT,116,2248
3,Jinro Metropolis,2,2114
4,Teamfight Tactics,21,1433
5,ARC Raiders,57,1306
6,Just Chatting,70,1190
7,League of Legends,73,1056
8,ASMR,17,890
9,Blue Protocol: Star Resonance,33,803
10,Overwatch 2,50,669
11,Apex Legends,134,578
12,ELDEN RING NIGHTREIGN,29,548
13,OCTOPATH TRAVELER 0,5,518
14,Monster Hunter Wilds,37,496
15,Dead by Daylight,27,474
16,Hearthstone,3,462
17,Grand Theft Auto V,21,406
18,Rust,23,367
19,Art,20,338
20,Street Fighter 6,36,253
21,Black Desert,8,251
22,FINAL FANTASY XIV ONLINE,21,250
23,I'm Only Sleeping,6,211
24,Shawarma Legend,1,204
25,Pomegranate Housing Complex,1,183
26,Minecraft,22,176
27,Shiren the Wanderer: The Tower of Fortune and the Dice of Fate,1,155
28,FINAL FANTASY VIII Remastered,1,140
29,EA Sports FC 26,2,133
30,Mamon King,4,131
31,Dark Souls: Remastered,1,129
32,Genshin Impact,20,123
33,Honkai: Star Rail,8,116
34,"Animals, Aquariums, and Zoos",3,113
35,Pokémon Legends: Z-A,5,113
36,ARK: Survival Ascended,13,111
37,Fall Guys,2,111
38,Tom Clancy's The Division 2,4,97
39,7 Days to Die,5,95
40,Always On,4,90
41,Music,7,89
42,Fortnite,11,88
43,Retro,3,86
44,Dark and Darker,2,78
45,Zenless Zone Zero,10,72
46,Path of Exile 2,11,70
47,R.E.P.O.,12,70
48,Dragon Quest I & II HD-2D Remake,5,68
49,Metaphor: ReFantazio,1,63
50,Marvel Rivals,6,63
