rank,name,streamers,viewers
1,Escape from Tarkov,161,13205
2,Path of Exile 2,69,9968
3,Just Chatting,111,7776
4,Shadowverse: Worlds Beyond,16,6432
5,League of Legends,97,3837
6,VALORANT,228,3791
7,ARC Raiders,91,2972
8,Overwatch 2,95,2581
9,Apex Legends,328,2571
10,Mamon King,15,1796
11,Street Fighter 6,82,1541
12,Fallout: New Vegas,1,1126
13,PUBG: Black Budget,5,955
14,Dead by Daylight,67,856
15,FINAL FANTASY XIV ONLINE,51,853
16,Teamfight Tactics,25,737
17,Black Desert,20,546
18,Retro,13,545
19,ELDEN RING NIGHTREIGN,51,525
20,Fatal Fury: City of the Wolves,2,442
21,Densha de GO!,1,410
22,World of Tanks,12,390
23,Eternal Return,6,337
24,Hearthstone,5,307
25,Splatoon 3,48,303
26,Pokémon Legends: Z-A,54,302
27,Dragon Quest III: The Seeds of Salvation,1,301
28,Genshin Impact,37,299
29,Art,12,245
30,Fortnite,38,219
31,Dragon Quest I & II HD-2D Remake,14,199
32,Tom Clancy's Rainbow Six Siege X,18,193
33,Grand Theft Auto V,32,173
34,ASMR,8,169
35,Monster Hunter Wilds,42,167
36,7 Days to Die,15,162
37,"Animals, Aquariums, and Zoos",4,158
38,IRL,2,156
39,Marvel Rivals,19,155
40,osu!,9,153
41,Minecraft,42,151
42,"Warhammer 40,000: Darktide",1,144
43,DJs,2,143
44,ARK: Survival Ascended,10,142
45,Elin,3,132
46,Diablo IV,7,130
47,R.E.P.O.,26,126
48,Zenless Zone Zero,7,125
49,Dragon Ball: The Breakers,3,124
50,Delta Force,13,122
