rank,name,streamers,viewers
1,The Game Awards,8,25613
2,League of Legends,9,6485
3,Just Chatting,12,2234
4,Escape from Tarkov,12,1991
5,Overwatch 2,5,1528
6,VALORANT,7,1247
7,World of Tanks,1,1193
8,ARC Raiders,3,1166
9,Hearthstone,1,873
10,Teamfight Tactics,3,471
11,Mario Kart World,1,389
12,Street Fighter 6,3,377
13,Apex Legends,2,254
14,IRL,2,224
15,Dead by Daylight,2,206
16,Black Desert,1,205
17,,2,174
18,Retro,2,162
19,Eternal Return,1,155
20,Mamon King,2,153
21,ELDEN RING NIGHTREIGN,2,134
22,Rust,1,123
23,Little Rocket Lab,1,119
24,Dark and Darker,1,116
25,Fatal Fury: City of the Wolves,1,111
26,Marvel Rivals,1,107
27,Winter Burrow,1,106
28,"Animals, Aquariums, and Zoos",1,103
29,Genshin Impact,1,92
30,FINAL FANTASY X,1,91
31,Sir Fallen,1,86
32,ARK: Survival Evolved,1,75
33,Escape from Duckov,1,72
34,Wuthering Waves,1,70
35,Jinro Metropolis,1,67
36,Tingus Goose,1,66
37,FINAL FANTASY XIV ONLINE,1,65
38,Pokémon Legends: Z-A,1,65
39,Super Smash Bros. Ultimate,1,58
