rank,name,streamers,viewers
1,Just Chatting,138,18119
2,Escape from Tarkov,130,11488
3,League of Legends,127,9576
4,VALORANT,252,5347
5,ARC Raiders,94,4615
6,Street Fighter 6,79,3943
7,Art,19,3150
8,Apex Legends,314,3006
9,Jinro Metropolis,3,2715
10,ELDEN RING NIGHTREIGN,48,2688
11,Overwatch 2,109,2365
12,Persona 5 Royal,9,1962
13,ASMR,16,1578
14,Grand Theft Auto V,140,1399
15,Teamfight Tactics,26,1390
16,Agreeee,3,1151
17,Minecraft,64,1113
18,SILENT HILL ƒ,8,836
19,Hogwarts Legacy,9,780
20,Monster Hunter Wilds,62,779
21,FINAL FANTASY XIV ONLINE,50,764
22,Dead by Daylight,66,648
23,Battlefield 6,13,579
24,EA Sports FC 26,4,541
25,Dark and Darker,18,499
26,Blue Protocol: Star Resonance,34,389
27,Black Desert,6,388
28,Escape from Tarkov: Arena,2,387
29,Genshin Impact,21,343
30,Hearthstone,4,339
31,Retro,13,334
32,Marvel Rivals,13,309
33,Bakery Cafe Simulator,1,291
34,Rust,25,288
35,R.E.P.O.,20,283
36,Shadowverse: Worlds Beyond,10,277
37,Phasmophobia,13,225
38,The Forest,3,221
39,Dungeon ni Seisoku Da!,1,205
40,Path of Exile 2,12,185
41,Dragon Quest I & II HD-2D Remake,8,172
42,Honkai: Star Rail,7,155
43,War Thunder,3,147
44,Tom Clancy's Rainbow Six Siege X,12,138
45,Delta Force,15,126
46,Fortnite,18,125
47,ARK: Survival Ascended,13,121
48,"Animals, Aquariums, and Zoos",3,117
49,World of Tanks,3,115
50,Pokémon Legends: Z-A,17,115
