rank,name,streamers,viewers
1,Escape from Tarkov,94,11158
2,VALORANT,161,3065
3,Mamon King,9,2322
4,League of Legends,79,2093
5,Alchemy Factory,3,1855
6,Apex Legends,180,1685
7,ARC Raiders,73,1622
8,Just Chatting,74,1456
9,Teamfight Tactics,20,1190
10,Overwatch 2,62,1093
11,Pokémon Ruby/Sapphire,1,765
12,Street Fighter 6,51,659
13,Path of Exile 2,35,553
14,FINAL FANTASY XIV ONLINE,38,543
15,Art,26,472
16,Dead by Daylight,47,369
17,IRL,3,362
18,Marvel Rivals,8,310
19,Retro,11,278
20,Raft,1,263
21,Shadowverse: Worlds Beyond,4,257
22,Monster Hunter Wilds,30,250
23,Genshin Impact,19,245
24,7 Days to Die,9,244
25,Hearthstone,2,228
26,ARK: Survival Ascended,7,205
27,"Animals, Aquariums, and Zoos",5,177
28,Wuthering Waves,10,175
29,Fortnite,37,164
30,Black Desert,7,162
31,ELDEN RING NIGHTREIGN,20,159
32,Beautiful Katamari,1,144
33,Dragon Quest I & II HD-2D Remake,4,142
34,Animal Crossing: New Horizons,6,142
35,Minecraft,25,139
36,The Legend of Zelda: A Link Between Worlds,1,132
37,Eternal Return,5,130
38,Always On,4,130
39,Linda³ Kanzenban,1,119
40,Dark and Darker,1,119
41,ASMR,15,115
42,FINAL FANTASY XVI,2,112
43,Gokujou Parodius: Kako no Eikou wo Motomete,1,111
44,Diablo IV,4,110
45,Super Mario World,1,106
46,Winter Burrow,1,106
47,Dota 2,3,98
48,Music,9,94
49,Resident Evil 4,3,90
50,Jinro Metropolis,1,86
