rank,name,streamers,viewers
1,VALORANT,104,2339
2,Persona 5 Royal,1,1948
3,Escape from Tarkov,69,1349
4,ASMR,15,1165
5,Hearthstone,5,971
6,Grand Theft Auto V,11,846
7,Just Chatting,62,833
8,Apex Legends,135,807
9,ARC Raiders,50,741
10,League of Legends,55,598
11,Black Desert,6,560
12,Street Fighter 6,29,454
13,Overwatch 2,39,416
14,FINAL FANTASY XIV ONLINE,22,381
15,Blue Protocol: Star Resonance,31,366
16,Phantasy Star Online Ver. 2,1,341
17,ELDEN RING NIGHTREIGN,24,331
18,Rust,10,274
19,Warframe,3,271
20,Raft,4,249
21,Retro,4,212
22,Always On,5,209
23,Dead by Daylight,22,199
24,"Animals, Aquariums, and Zoos",4,183
25,Shadowverse: Worlds Beyond,4,176
26,Dark and Darker,7,167
27,Minecraft,21,165
28,Genshin Impact,18,156
29,Art,17,153
30,Teamfight Tactics,11,146
31,Mamon King,4,145
32,Monster Hunter Wilds,33,137
33,Dark Souls: Remastered,1,127
34,Shiren the Wanderer: The Tower of Fortune and the Dice of Fate,1,125
35,Bread & Fred,1,106
36,Ōkami HD,1,105
37,Fortnite,22,96
38,Mario Kart World,1,96
39,The Legend of Zelda: The Wind Waker,2,95
40,Zenless Zone Zero,8,89
41,EA Sports FC 26,2,87
42,Persona 4 Golden,1,83
43,Kirby Air Riders,2,82
44,Honkai: Star Rail,6,80
45,7 Days to Die,5,77
46,Backpack Battles,1,73
47,Lies of P,1,72
48,Path of Exile 2,4,71
49,Marvel Rivals,5,70
50,Strinova,5,69
