rank,name,streamers,viewers
1,Just Chatting,110,11701
2,Street Fighter 6,84,10141
3,Escape from Tarkov,155,9463
4,League of Legends,129,9144
5,VALORANT,264,5628
6,ARC Raiders,106,5344
7,Resident Evil 2,1,3722
8,Apex Legends,369,2298
9,Mamon King,12,2203
10,Teamfight Tactics,25,1804
11,Dead by Daylight,69,1282
12,Overwatch 2,117,1247
13,Eternal Return,5,1067
14,FINAL FANTASY XIV ONLINE,74,1000
15,Art,45,919
16,Hearthstone,2,826
17,Mario Kart World,1,766
18,ASMR,17,629
19,Monster Hunter Wilds,112,547
20,7 Days to Die,8,472
21,Black Desert,8,424
22,Delta Force,18,408
23,Retro,13,399
24,Path of Exile 2,27,343
25,IRL,3,330
26,Shadowverse: Worlds Beyond,6,279
27,World of Tanks,6,273
28,Deviation Game,3,261
29,Pokémon Legends: Z-A,18,243
30,ELDEN RING NIGHTREIGN,17,233
31,Tom Clancy's The Division 2,7,224
32,Honkai: Star Rail,48,204
33,Music,11,203
34,Dark and Darker,4,193
35,Minecraft,36,187
36,Fortnite,41,180
37,Genshin Impact,28,163
38,Strinova,9,157
39,Splatoon 3,15,148
40,Battlefield 6,13,141
41,Backpack Battles,1,138
42,2XKO,1,134
43,Kirby Air Riders,2,127
44,World of Warships,2,109
45,Always On,3,109
46,Jinro Metropolis,9,109
47,Co-working & Studying,5,108
48,Tom Clancy's Rainbow Six Siege X,13,99
49,R.E.P.O.,19,98
50,Marvel Rivals,11,93
