rank,name,streamers,viewers
1,Just Chatting,181,21769
2,Cloverpit,1,14934
3,Escape from Tarkov,92,11768
4,League of Legends,137,10071
5,Teamfight Tactics,18,9232
6,Mamon King,9,8429
7,ELDEN RING NIGHTREIGN,37,8025
8,Inazuma Eleven GO: Chrono Stones - Thunderflash,1,7944
9,Apex Legends,281,7924
10,Gartic Phone,3,6414
11,Minecraft,76,6296
12,Dead by Daylight,77,6146
13,ARC Raiders,78,5930
14,Street Fighter 6,85,4830
15,Eternal Return,8,4723
16,VALORANT,252,3382
17,Overwatch 2,111,3115
18,Retro,11,2380
19,Jinro Metropolis,8,2083
20,Mamon King,1,1973
21,and Roger,1,1825
22,ASMR,9,1477
23,FINAL FANTASY XIV ONLINE,78,1296
24,Suika Game,2,1290
25,Clair Obscur: Expedition 33,3,973
26,Hogwarts Legacy,7,936
27,Grand Theft Auto V,65,867
28,Path of Exile 2,22,847
29,ARK: Survival Ascended,7,811
30,Pokémon Legends: Z-A,35,734
31,Art,25,725
32,Black Desert,8,709
33,HANEHOLO!,1,652
34,ZAKO NO AHIRU,1,614
35,Hearthstone,7,567
36,EA Sports FC 26,5,547
37,Rust,22,543
38,7 Days to Die,15,512
39,Agreeee,8,478
40,Kirby Air Riders,15,443
41,Music,10,439
42,Super Mario Maker 2,2,418
43,Splatoon 3,31,405
44,DJs,6,360
45,MIMESIS,22,343
46,Super Smash Bros. Ultimate,6,257
47,World of Tanks,7,257
48,Genshin Impact,21,256
49,Monster Hunter Wilds,40,254
50,Wuthering Waves,17,253
