rank,name,streamers,viewers
1,Just Chatting,138,38463
2,League of Legends,124,17175
3,Escape from Tarkov,99,16300
4,Dragon Quest Monsters: Terry no Wonderland SP,1,8844
5,Grand Theft Auto V,55,8676
6,Street Fighter 6,93,8207
7,VALORANT,253,7638
8,Clubhouse Games: 51 Worldwide Classics,1,6784
9,ARC Raiders,93,6718
10,Apex Legends,299,5757
11,PICO PARK 2,1,3648
12,ASMR,12,3352
13,Pokémon Legends: Z-A,18,2811
14,FINAL FANTASY XIV ONLINE,152,2582
15,ELDEN RING NIGHTREIGN,39,2525
16,Overwatch 2,104,2494
17,Dragon Quest I & II HD-2D Remake,12,2443
18,Pokémon UNITE,5,2254
19,Satisfactory,4,1432
20,Monster Hunter Wilds,150,1293
21,Animal Crossing: New Horizons,9,1115
22,Minecraft,37,1071
23,Teamfight Tactics,23,1009
24,Dead by Daylight,62,801
25,SILENT HILL ƒ,6,785
26,Hearthstone,5,730
27,Clair Obscur: Expedition 33,3,726
28,Art,33,613
29,Black Desert,15,540
30,ZAKO NO AHIRU,2,469
31,Among Us,1,375
32,OCTOPATH TRAVELER 0,8,374
33,Genshin Impact,31,345
34,Retro,8,343
35,Super Smash Bros. Ultimate,7,343
36,7 Days to Die,10,340
37,Path of Exile 2,11,323
38,Phasmophobia,13,303
39,Dark Souls: Remastered,5,294
40,Music,5,290
41,Jinro Metropolis,7,289
42,Rhythm Doctor,4,285
43,Tom Clancy's Rainbow Six Siege X,22,262
44,Marvel Rivals,18,252
45,Shadowverse: Worlds Beyond,14,234
46,World of Tanks,7,223
47,Raft,3,222
48,ELDEN RING,9,210
49,Wuthering Waves,11,210
50,The Legend of Zelda: Breath of the Wild,1,191
