rank,name,streamers,viewers
1,League of Legends,115,9532
2,Just Chatting,151,8146
3,Escape from Tarkov,131,5136
4,VALORANT,227,3952
5,ARC Raiders,95,3009
6,ASMR,11,2872
7,Apex Legends,295,2164
8,Persona 5 Royal,3,1992
9,Overwatch 2,92,1518
10,Grand Theft Auto V,96,1505
11,OCTOPATH TRAVELER 0,4,1425
12,Teamfight Tactics,19,1297
13,FINAL FANTASY XIV ONLINE,73,1209
14,Street Fighter 6,56,1037
15,Hearthstone,4,991
16,Pokémon Ruby/Sapphire,1,860
17,Dead by Daylight,77,827
18,Black Desert,9,777
19,Eternal Return,7,662
20,Mario Kart World,5,635
21,VRChat,9,583
22,ELDEN RING NIGHTREIGN,44,567
23,Escape from Tarkov: Arena,2,546
24,Ghost of Yōtei,1,537
25,Minecraft,58,516
26,Monster Hunter Wilds,83,494
27,DJs,4,490
28,Phantasy Star Online Ver. 2,1,458
29,Rhythm Doctor,2,440
30,Blue Protocol: Star Resonance,35,426
31,Art,22,412
32,Rust,29,388
33,Dark and Darker,12,386
34,Honkai: Star Rail,20,375
35,Shadowverse: Worlds Beyond,10,366
36,SILENT HILL ƒ,13,350
37,Raft,3,348
38,Japan Stigmatized Property,10,304
39,Bakery Cafe Simulator,1,296
40,EA Sports FC 26,3,281
41,The Legend of Zelda: Breath of the Wild,3,252
42,UNDERTALE,2,235
43,Genshin Impact,17,215
44,Music,9,210
45,Kirby Air Riders,6,200
46,Albion Online,2,191
47,Amagami,2,189
48,R.E.P.O.,18,176
49,"Animals, Aquariums, and Zoos",2,168
50,Animal Crossing: New Horizons,1,158
