rank,name,streamers,viewers
1,MapleStory,3,1954
2,League of Legends,49,1820
3,VALORANT,95,1381
4,Escape from Tarkov,57,1225
5,ASMR,17,1092
6,ARC Raiders,43,925
7,Goblin Cleanup,1,907
8,Blue Protocol: Star Resonance,35,859
9,Core Keeper,2,779
10,Overwatch 2,46,767
11,Grand Theft Auto V,16,667
12,Apex Legends,103,598
13,Just Chatting,45,566
14,Yu-Gi-Oh! Master Duel,2,544
15,Hearthstone,5,467
16,Teamfight Tactics,13,405
17,Ghost of Yōtei,2,391
18,FINAL FANTASY XIV ONLINE,27,329
19,ELDEN RING NIGHTREIGN,16,300
20,Monster Hunter Wilds,22,293
21,Rust,8,257
22,Backpack Battles,3,252
23,Path of Exile 2,15,246
24,Art,18,237
25,Street Fighter 6,21,236
26,Dead by Daylight,21,230
27,Retro,5,197
28,Resident Evil 3: Nemesis,1,193
29,Always On,4,186
30,Cult of the Lamb,1,157
31,Pokémon Legends: Z-A,8,147
32,"Animals, Aquariums, and Zoos",4,140
33,IRL,2,136
34,FINAL FANTASY VIII Remastered,2,131
35,Honkai: Star Rail,6,102
36,Slay the Spire,1,93
37, SEKIRO: SHADOWS DIE TWICE,1,89
38,Wuthering Waves,8,87
39,Kirby Air Riders,2,86
40,Genshin Impact,15,73
41,Marvel Rivals,8,67
42,Strinova,2,63
43,Minecraft,16,62
44,Zenless Zone Zero,10,60
45,Mahjong Soul,3,53
46,Beat Saber,3,49
47,Delta Force,2,48
48,Fortnite,11,45
49,World of Tanks,1,42
50,BALL x PIT,2,41
