rank,name,streamers,viewers
1,Mamon King,3,56356
2,Just Chatting,14,20453
3,Teamfight Tactics,6,8894
4,Run for Money Tousouchuu,1,8181
5,Apex Legends,6,7828
6,League of Legends,12,6239
7,Shadowverse: Worlds Beyond,2,6168
8,Inazuma Eleven GO: Chrono Stones - Thunderflash,1,5197
9,Street Fighter 6,5,5179
10,ARC Raiders,8,4221
11,Minecraft,1,4166
12,ARK: Survival Ascended,1,2754
13,VALORANT,5,2578
14,PUBG: BATTLEGROUNDS,1,2421
15,Escape from Tarkov,4,2199
16,Mahou Shoujo no Majo Saiban,1,1976
17,,4,1735
18,Momotaro Dentetsu 2: Anata no Machi mo Kitto aru,3,1712
19,Grand Theft Auto V,3,1467
20,Overwatch 2,1,1429
21,Amagami,1,1040
22,Pokémon Legends: Z-A,1,777
23,MIMESIS,2,682
24, SEKIRO: SHADOWS DIE TWICE,1,483
25,Stardew Valley,1,418
26,Pawafuru Puroyakyu 2024-2025,1,409
27,Black Desert,1,395
28,Among Us 3D: VR,1,388
29,Splatoon 3,1,344
30,Magic: The Gathering,1,330
31,It Takes Two,1,284
32,UMIGARI,1,270
33,Kirby Air Riders,1,242
34,R.E.P.O.,1,224
35,Gunfire Reborn,1,207
36,ELDEN RING NIGHTREIGN,1,198
37,Dead by Daylight,1,188
