rank,name,game_id,streamers,viewers
1,Just Chatting,509658,500,153075
2,League of Legends,21779,500,68616
3,Dota 2,29595,500,35687
4,ARC Raiders,464339927,500,32410
5,Escape from Tarkov,491931,500,32955
6,I'm Only Sleeping,498592,279,32171
7,Teamfight Tactics,513143,348,29471
8,Counter-Strike,32399,500,29579
9,Grand Theft Auto V,32982,500,28104
10,World of Warcraft,18122,476,26240
11,Rust,263490,173,22387
12,Overwatch 2,515025,500,21248
13,Fortnite,33214,500,19644
14,Dead by Daylight,491487,500,19141
15,Minecraft,27471,500,18126
16,VALORANT,516575,500,16980
17,Virtual Casino,29452,23,16940
18,Always On,499973,262,16518
19,IRL,509672,384,15785
20,Arena Breakout: Infinite,401587136,189,15007
21,Call of Duty: Warzone,512710,500,12483
22,Marvel Rivals,1264310518,500,10646
23,DARK SOULS II: Scholar of the First Sin,489170,22,10572
24,Baldur's Gate 3,512923,80,10435
25,Hearthstone,138585,100,9507
26,Pokémon Legends: Z-A,997367275,500,9068
27,ASMR,509659,128,8506
28,ELDEN RING NIGHTREIGN,982348888,220,7975
29,Crime Simulator,623821345,4,8488
30,World of Tanks,27546,147,8690
31,Apex Legends,511224,500,8044
32,Art,509660,400,7978
33,Agreeee,167365321,1,7620
34,Street Fighter 6,55453844,136,7142
35,EA Sports FC 26,624536948,349,7322
36,FINAL FANTASY XIV ONLINE,24241,355,6772
37,Warframe,66170,151,6595
38,Call of Duty: Black Ops 7,2012789438,500,6175
39,Path of Exile 2,1702520304,63,6170
40,PUBG: BATTLEGROUNDS,493057,272,5537
41,Sports,518203,73,5895
42,Music,26936,449,5134
43,Battlefield REDSEC,1848745913,113,5164
44,Slots,498566,39,4473
45,Retro,27284,168,5192
46,Legend of YMIR,889298168,71,4522
47,Genshin Impact,513181,259,4239
48,DJs,1669431183,144,4182
49,Palia,982017546,92,4008
50,Stardew Valley,490744,65,3753
