rank,name,streamers,viewers
1,Street Fighter 6,77,41892
2,ARC Raiders,99,19871
3,Just Chatting,116,14800
4,VALORANT,229,12931
5,League of Legends,107,7315
6,Overwatch 2,125,5410
7,Apex Legends,265,3510
8,Teamfight Tactics,21,3435
9,Escape from Tarkov,131,2865
10,IRL,5,1921
11,Jinro Metropolis,1,1557
12,FINAL FANTASY XIV ONLINE,59,1114
13,Blue Protocol: Star Resonance,56,1080
14,Monster Hunter Wilds,93,854
15,Retro,18,829
16,Dead by Daylight,60,741
17,Alchemy Factory,5,726
18,Special Events,2,679
19,Black Desert,11,620
20,Path of Exile 2,15,606
21,ELDEN RING NIGHTREIGN,50,473
22,Art,32,394
23,Minecraft,51,389
24,DJs,6,342
25,Dark and Darker,8,339
26,ASMR,9,329
27,Music,10,313
28,Rust,18,312
29,Hearthstone,4,294
30,Splatoon 3,31,280
31,Shadowverse: Worlds Beyond,11,278
32,Eternal Return,9,265
33,Genshin Impact,28,261
34,Grand Theft Auto V,35,256
35,Fortnite,28,237
36,Animal Crossing: New Horizons,4,222
37,ARK: Survival Ascended,18,220
38,Shiren the Wanderer: The Mystery Dungeon of Serpentcoil Island,5,211
39,Japan Stigmatized Property 2,3,208
40,Tom Clancy's Rainbow Six Siege X,19,206
41,"Animals, Aquariums, and Zoos",4,193
42,The Legend of Zelda: The Wind Waker,2,176
43,Marvel Rivals,17,167
44,Kirby Air Riders,9,166
45,Beat Saber,9,152
46,Honkai: Star Rail,11,151
47,Conqueror's Blade,6,141
48,Pokémon Sword/Shield,3,138
49,7 Days to Die,12,134
50,Delta Force,12,131
