rank,name,streamers,viewers
1,Mamon King,4,21599
2,Apex Legends,13,13778
3,Teamfight Tactics,6,9515
4,Just Chatting,6,6008
5,League of Legends,9,5305
6,Minecraft,1,5071
7,Inazuma Eleven GO: Chrono Stones - Thunderflash,1,4951
8,VALORANT,5,3792
9,Pokémon Legends: Z-A,5,3286
10,ARC Raiders,6,3269
11,Mahou Shoujo no Majo Saiban,1,2772
12,ASMR,3,2368
13,,4,2024
14,Shadowverse: Worlds Beyond,3,1722
15,Momotaro Dentetsu 2: Anata no Machi mo Kitto aru,3,1565
16,ELDEN RING NIGHTREIGN,1,1491
17,Jinro Metropolis,1,1332
18,Amagami,1,927
19,Overwatch 2,2,566
20,Detroit: Become Human,1,536
21,EA Sports FC 26,2,525
22,Factorio,1,523
23,Grand Theft Auto V,2,467
24,Stardew Valley,1,451
25,Escape from Tarkov,2,427
26,ARK: Survival Ascended,3,401
27,Clair Obscur: Expedition 33,1,399
28,Marvel Rivals,1,182
29,R.E.P.O.,1,170
30,Hearthstone,1,158
31,Dead by Daylight,1,155
32,Dark and Darker,1,147
33,"Animals, Aquariums, and Zoos",1,140
34,Alice's World,1,136
35,Retro,1,133
36,Genshin Impact,1,129
37,Street Fighter 6,1,123
