rank,name,streamers,viewers
1,Street Fighter 6,16,2487
2,Persona 5 Royal,3,2044
3,Escape from Tarkov,48,1524
4,League of Legends,40,1257
5,ARC Raiders,35,1022
6,ASMR,17,1008
7,Apex Legends,90,952
8,Hearthstone,4,819
9,VALORANT,72,806
10,Just Chatting,51,705
11,Blue Protocol: Star Resonance,24,640
12,Art,14,463
13,Dead by Daylight,12,448
14,FINAL FANTASY XIV ONLINE,20,396
15,SUPER GHOULS'N GHOSTS,1,379
16,Overwatch 2,22,341
17,Dark and Darker,6,282
18,Black Desert,7,268
19,ELDEN RING NIGHTREIGN,11,255
20,Marvel Rivals,6,247
21,IRL,3,205
22,Retro,2,204
23,Dungeon ni Seisoku Da!,1,194
24,Teamfight Tactics,9,184
25,Music,3,160
26,Splatoon 3,3,156
27,Steam,1,156
28,Path of Exile 2,7,145
29,Monster Hunter Wilds,25,137
30,Always On,4,135
31,"Animals, Aquariums, and Zoos",4,125
32,Special Events,1,117
33,Lies of P,1,104
34,The Legend of Zelda: The Wind Waker,1,104
35,Shadowverse: Worlds Beyond,2,97
36,Genshin Impact,8,93
37,Honkai: Star Rail,7,78
38,Pokémon Legends: Z-A,6,77
39,Rust,13,75
40,PUBG: Black Budget,1,71
41,Backpack Battles,1,68
42,Wuthering Waves,5,67
43,TEKKEN 8,2,56
44,STORY OF SEASONS: Grand Bazaar,1,55
45,A Dance of Fire and Ice,1,54
46,Minecraft,16,53
47,Momotaro Dentetsu 2: Anata no Machi mo Kitto aru,1,49
48,Dragon Quest I & II HD-2D Remake,1,47
49,Kusoge,1,45
50,PowerWash Simulator,1,43
