rank,name,streamers,viewers
1,Dragon Quest Monsters: Terry no Wonderland SP,1,10097
2,Alchemy Factory,6,6115
3,League of Legends,111,5394
4,Just Chatting,99,4162
5,Mamon King,19,3964
6,Escape from Tarkov,156,3308
7,Overwatch 2,104,3253
8,VALORANT,235,2515
9,PUBG: Black Budget,2,2504
10,Apex Legends,293,2237
11,Street Fighter 6,72,2236
12,Retro,12,1973
13,Dragon Quest I & II HD-2D Remake,13,1674
14,ARC Raiders,99,1505
15,Path of Exile 2,49,1141
16,Teamfight Tactics,23,1048
17,Dead by Daylight,96,1022
18,FINAL FANTASY XIV ONLINE,47,904
19,Black Desert,17,788
20,Agreeee,1,786
21,Fushigi no Dungeon: Fuurai no Shiren GB2 - Sabaku no Majou,1,612
22,Momotaro Dentetsu 2: Anata no Machi mo Kitto aru,5,515
23,ASMR,13,512
24,Splatoon 3,40,511
25,Art,37,441
26,Eternal Return,9,416
27,Dragon Quest III: The Seeds of Salvation,2,362
28,ELDEN RING NIGHTREIGN,48,339
29,Hearthstone,3,331
30,Pokémon Legends: Z-A,55,298
31,2XKO,1,295
32,ARK: Survival Ascended,9,292
33,Grand Theft Auto V,41,245
34,I'm on Observation Duty 8,1,228
35,Rust,11,219
36,Battlefield 6,14,209
37,Gunfire Reborn,1,209
38,Dark and Darker,7,205
39,Marvel Rivals,12,205
40,Minecraft,43,199
41,Monster Hunter Wilds,29,193
42,Zenless Zone Zero,6,192
43,One Piece Card Game,1,184
44,GeoGuessr,2,176
45,INAZUMA ELEVEN: Victory Road,10,175
46,Genshin Impact,28,173
47,Where Winds Meet,15,168
48,World of Tanks,10,161
49,Hogwarts Legacy,10,160
50,DJs,4,158
