rank,name,streamers,viewers
1,League of Legends,66,7366
2,Persona 5 Royal,1,2238
3,Escape from Tarkov,67,1659
4,VALORANT,120,1575
5,ARC Raiders,41,1065
6,Just Chatting,67,1042
7,Hearthstone,6,936
8,Apex Legends,126,918
9,Street Fighter 6,39,892
10,ASMR,15,780
11,Teamfight Tactics,12,749
12,FINAL FANTASY XIV ONLINE,28,547
13,Overwatch 2,46,523
14,Blue Protocol: Star Resonance,26,495
15,ELDEN RING NIGHTREIGN,15,297
16,Dead by Daylight,39,286
17,Splatoon 3,8,274
18,IRL,6,250
19,Monster Hunter Wilds,43,248
20,Always On,4,236
21,Retro,6,205
22,Black Desert,4,199
23,Shadowverse: Worlds Beyond,6,188
24,Backpack Battles,2,169
25,Minecraft,21,166
26,"Animals, Aquariums, and Zoos",3,138
27,Honkai: Star Rail,9,135
28,Path of Exile 2,11,133
29,Marvel Rivals,11,128
30,Genshin Impact,15,120
31,Fortnite,15,120
32,Art,11,117
33,Animal Crossing: New Horizons,4,113
34,A Dance of Fire and Ice,1,112
35,DRAGON QUEST XI S: Echoes of an Elusive Age,2,105
36,Zenless Zone Zero,8,96
37,Japan Stigmatized Property,1,94
38,The Legend of Zelda: The Wind Waker,1,90
39,Dark and Darker,3,84
40,Resident Evil 4,3,83
41,Agreeee,1,81
42,Super Mario World,1,76
43,Rust,7,72
44,Pokémon Legends: Z-A,14,68
45,Frostpunk,1,67
46,Hollow Knight,3,66
47,Deviation Game,2,66
48,I'm Only Sleeping,3,65
49,Dragon Quest Builders 2,2,63
50,Diablo IV,4,59
