rank,name,streamers,viewers
1,VALORANT,9,20677
2,Escape from Tarkov,8,13630
3,Just Chatting,9,7039
4,Mamon King,3,3242
5,League of Legends,11,2422
6,Street Fighter 6,5,2011
7,Teamfight Tactics,3,1489
8,IRL,3,1191
9,Tom Clancy's Rainbow Six Siege X,2,772
10,Overwatch 2,4,588
11,ARC Raiders,4,586
12,ASMR,1,540
13,Mario Kart World,1,497
14,7 Days to Die,1,447
15,Shadowverse: Worlds Beyond,3,293
16,Dark and Darker,2,272
17,ELDEN RING NIGHTREIGN,2,263
18,Hearthstone,1,251
19,Dead by Daylight,2,241
20,Special Events,1,231
21,Apex Legends,2,219
22,World of Tanks,1,207
23,Pokémon Legends: Z-A,1,187
24,Art,2,180
25,"Animals, Aquariums, and Zoos",1,170
26,Retro,1,161
27,Black Desert,2,160
28,Dragon Quest I & II HD-2D Remake,1,155
29,The Legend of Zelda: Skyward Sword,1,137
30,Jinro Metropolis,1,113
31,The Conveni: Ano Machi wo Dokusen Seyo,1,97
32,,1,96
33,Beautiful Katamari,1,93
34,Albion Online,1,92
35,Rogue AI Simulator,1,92
36,DARK SOULS III,1,91
37,Always On,1,79
38,Alien: Isolation,1,79
39,Path of Exile 2,1,76
40,Zenless Zone Zero,1,65
41,FINAL FANTASY XIV ONLINE,1,53
