rank,name,streamers,viewers
1,Street Fighter 6,291,42895
2,Call of Duty: Black Ops 7,16,5164
3,Just Chatting,110,4814
4,Teamfight Tactics,29,3758
5,Escape from Tarkov,140,3388
6,League of Legends,82,2449
7,Apex Legends,315,1840
8,VALORANT,206,1512
9,ARC Raiders,91,1323
10,FINAL FANTASY XIV ONLINE,56,795
11,Blue Protocol: Star Resonance,54,776
12,Overwatch 2,88,759
13,ASMR,10,581
14,FINAL FANTASY TACTICS - The Ivalice Chronicles,1,564
15,Path of Exile 2,34,536
16,Black Desert,14,498
17,Monster Hunter Wilds,88,496
18,Rust,17,492
19,Dead by Daylight,54,484
20,ELDEN RING NIGHTREIGN,45,409
21,IRL,5,344
22,Dark and Darker,10,344
23,Amagami,17,313
24,Art,17,286
25,Grand Theft Auto V,30,267
26,Hearthstone,1,257
27,World of Tanks,13,237
28,Stardew Valley,6,203
29,Dragon Quest I & II HD-2D Remake,9,192
30,Dragon Quest III HD-2D Remake,2,162
31,"Animals, Aquariums, and Zoos",4,157
32,Fortnite,31,152
33,Super Smash Bros. Ultimate,3,152
34,Shadowverse: Worlds Beyond,10,140
35,Always On,4,138
36,VRChat,11,137
37,SILENT HILL ƒ,2,135
38,World of Warships,5,127
39,Honkai: Star Rail,10,124
40,Minecraft,25,113
41,Tom Clancy's The Division 2,5,112
42,ARK: Survival Ascended,15,110
43,Zenless Zone Zero,6,109
44,Retro,7,108
45,Paper Trail,1,107
46,Marvel Rivals,13,105
47,Metaphor: ReFantazio,3,104
48,Crab Champions,1,99
49,Dragon Quest Builders 2,4,97
50,Genshin Impact,28,96
