rank,name,streamers,viewers
1,Street Fighter 6,85,13901
2,League of Legends,105,10997
3,Dragon Quest Monsters: Terry no Wonderland SP,1,10478
4,Just Chatting,118,10296
5,VALORANT,255,4938
6,Teamfight Tactics,23,4045
7,Escape from Tarkov,132,3882
8,ARC Raiders,108,3581
9,Overwatch 2,106,3123
10,My Card Is Better Than Your Card!,1,2904
11,Persona 5 Royal,6,2819
12,Apex Legends,319,2621
13,Rhythm Heaven,1,1304
14,FINAL FANTASY XIV ONLINE,62,1209
15,Dead by Daylight,65,885
16,Rhythm Doctor,2,849
17,Blue Protocol: Star Resonance,55,846
18,Monster Hunter Wilds,92,778
19,Special Events,7,715
20,Path of Exile 2,22,677
21,Retro,13,643
22,Black Desert,11,624
23,Minecraft,38,553
24,Dark and Darker,13,401
25,Hearthstone,3,399
26,ELDEN RING NIGHTREIGN,48,359
27,ASMR,9,322
28,Marvel Rivals,18,311
29,World of Tanks,11,295
30,IRL,6,294
31,Shadowverse: Worlds Beyond,7,277
32,Dragon Quest I & II HD-2D Remake,13,273
33,Among Us,2,261
34,EA Sports FC 26,4,257
35,Fortnite,33,225
36,Honkai: Star Rail,10,207
37,Rust,16,201
38,Animal Crossing: New Horizons,3,195
39,Grand Theft Auto V,15,187
40,R.E.P.O.,25,184
41,ARK: Survival Ascended,15,166
42,Splatoon 3,25,164
43,"Animals, Aquariums, and Zoos",4,156
44,Art,24,154
45,Stardew Valley,7,145
46,FINAL FANTASY VIII,1,144
47,Genshin Impact,28,142
48,VRChat,6,142
49,Always On,3,141
50,Tom Clancy's The Division 2,9,129
