rank,name,streamers,viewers,avg_viewers_per_stream
1,Just Chatting,3495,174608,49.96
2,ARC Raiders,3703,105030,28.36
3,Liminal City,5,56962,11392.4
4,League of Legends,1483,51520,34.74
5,IRL,363,46553,128.25
6,Grand Theft Auto V,2182,31144,14.27
7,Rust,215,30460,141.67
8,Overwatch 2,1337,29901,22.36
9,Minecraft,1948,29684,15.24
10,Fortnite,4249,28569,6.72
11,Dead by Daylight,1827,25082,13.73
12,Virtual Casino,37,23633,638.73
13,Escape from Tarkov,929,23611,25.42
14,I'm Only Sleeping,219,23356,106.65
15,Teamfight Tactics,396,23105,58.35
16,Counter-Strike,652,22191,34.04
17,VALORANT,1801,21695,12.05
18,DARK SOULS II: Scholar of the First Sin,27,19439,719.96
19,Marvel Rivals,1775,17486,9.85
20,Call of Duty: Warzone,1924,16453,8.55
21,World of Warcraft,572,14753,25.79
22,Special Events,62,13442,216.81
23,Pokémon Legends: Z-A,835,12522,15.0
24,Arena Breakout: Infinite,231,12429,53.81
25,ASMR,160,12404,77.53
26,ROBLOX,1221,11479,9.4
27,Call of Duty: Black Ops 7,1311,11113,8.48
28,Dota 2,453,10455,23.08
29,Of Ash and Steel,13,10013,770.23
30,Apex Legends,1320,9636,7.3
31,ELDEN RING NIGHTREIGN,456,9631,21.12
32,A.I.L.A,12,9082,756.83
33,Slots,36,8960,248.89
34,Always On,271,8201,30.26
35,Warframe,268,7866,29.35
36,Hearthstone,68,7758,114.09
37,Deadlock,121,7366,60.88
38,DJs,183,6850,37.43
39,NBA 2K26,1640,6788,4.14
40,Art,466,6601,14.17
41,Fall Guys,74,6158,83.22
42,Kirby Air Riders,30,6084,202.8
43,Where Winds Meet,488,6057,12.41
44,FINAL FANTASY XIV ONLINE,407,6039,14.84
45,Music,523,5797,11.08
46,Battlefield 6,781,5784,7.41
47,Retro,233,5723,24.56
48,Legend of YMIR,81,5560,68.64
49,Lost Ark,44,4860,110.45
50,Madden NFL 26,809,4671,5.77
