rank,name,streamers,viewers
1,League of Legends,125,54416
2,Just Chatting,111,40480
3,Street Fighter 6,89,7410
4,VALORANT,225,5878
5,Mamon King,17,4766
6,ARC Raiders,104,3007
7,Minecraft,43,2698
8,Escape from Tarkov,143,2643
9,Apex Legends,310,2614
10,Overwatch 2,151,2380
11,Teamfight Tactics,30,1502
12,Hearthstone,3,960
13,Art,34,910
14,FINAL FANTASY XIV ONLINE,73,812
15,7 Days to Die,16,782
16,Dead by Daylight,59,766
17,Leaf it Alone,1,760
18,Monster Hunter Wilds,98,716
19,ASMR,18,696
20,Black Desert,10,519
21,IRL,3,406
22,Path of Exile 2,20,387
23,ELDEN RING NIGHTREIGN,12,369
24,Music,18,367
25,SILENT HILL ƒ,11,367
26,Tom Clancy's The Division 2,11,363
27,Honkai: Star Rail,42,293
28,Pokémon Legends: Z-A,22,292
29,Dark and Darker,2,284
30,Shadowverse: Worlds Beyond,10,263
31,Jinro Metropolis,4,240
32,Sutte Hakkun,2,222
33,Fortnite,39,172
34,Mahjong Soul,9,166
35,ELDEN RING,8,163
36,Genshin Impact,29,161
37,World of Tanks,7,160
38,Always On,5,157
39,Retro,11,153
40,Splatoon 3,24,146
41,Backpack Battles,2,146
42,Tom Clancy's Rainbow Six Siege X,13,140
43,Battlefield 6,11,137
44,Marvel Rivals,16,136
45,MapleStory,5,130
46,Special Events,2,126
47,Delta Force,13,120
48,Food & Drink,4,113
49,PUBG: BATTLEGROUNDS,7,103
50,My Hero Ultra Rumble,22,102
