rank,name,streamers,viewers
1,Street Fighter 6,77,47057
2,Just Chatting,156,46851
3,Escape from Tarkov,120,5914
4,VALORANT,206,5877
5,League of Legends,107,5846
6,Overwatch 2,105,3940
7,Apex Legends,249,3459
8,ARC Raiders,92,3258
9,Teamfight Tactics,27,2278
10,Jinro Metropolis,2,1796
11,Blue Protocol: Star Resonance,66,1408
12,Delta Force,18,1364
13,FINAL FANTASY XIV ONLINE,62,1180
14,Path of Exile 2,25,1034
15,Retro,12,914
16,Dead by Daylight,64,755
17,Monster Hunter Wilds,79,720
18,Black Desert,17,705
19,Special Events,2,589
20,ELDEN RING NIGHTREIGN,49,438
21,Grand Theft Auto V,53,428
22,ASMR,8,361
23,Minecraft,48,356
24,Hearthstone,4,314
25,DJs,4,305
26,Rust,13,303
27,Marvel Rivals,22,287
28,Tom Clancy's Rainbow Six Siege X,14,280
29,IRL,5,272
30,Eternal Return,7,265
31,Animal Crossing: New Horizons,8,260
32,Splatoon 3,23,248
33,Art,23,243
34,Genshin Impact,26,241
35,Fortnite,34,228
36,Shadowverse: Worlds Beyond,9,228
37,Japan Stigmatized Property 2,4,226
38,Kirby Air Riders,7,219
39,ARK: Survival Ascended,18,217
40,Tom Clancy's The Division 2,9,189
41,Music,13,186
42,Pokémon Legends: Z-A,20,178
43,Diablo IV,7,172
44,Leaf it Alone,2,172
45,"Animals, Aquariums, and Zoos",3,170
46,Honkai: Star Rail,13,169
47,ELDEN RING,10,164
48,Beat Saber,8,162
49,Wuthering Waves,9,140
50,Always On,3,138
