rank,name,streamers,viewers
1,League of Legends,129,30643
2,Just Chatting,104,20082
3,Escape from Tarkov,137,6207
4,Monster Hunter Wilds,54,3735
5,ARC Raiders,78,2738
6,VALORANT,206,2202
7,Persona 5 Royal,3,1906
8,Teamfight Tactics,26,1697
9,Apex Legends,306,1415
10,Street Fighter 6,56,1232
11,Hearthstone,2,1021
12,Blue Protocol: Star Resonance,48,896
13,Fire Emblem: Three Houses,1,763
14,Overwatch 2,84,754
15,FINAL FANTASY XIV ONLINE,53,660
16,Dead by Daylight,57,625
17,Suika Game Planet,2,613
18,Art,38,513
19,ELDEN RING NIGHTREIGN,46,457
20,PUBG: BATTLEGROUNDS,5,405
21,Black Desert,9,347
22,Path of Exile 2,20,347
23,Detroit: Become Human,5,328
24,IRL,4,292
25,Shadowverse: Worlds Beyond,8,275
26,My Little Puppy,1,250
27,World of Tanks,11,232
28,beatmania IIDX INFINITAS,3,212
29,Minecraft,40,197
30,ASMR,13,183
31,Always On,3,179
32,Backpack Battles,4,177
33,"Animals, Aquariums, and Zoos",6,170
34,Dark and Darker,3,167
35,Tom Clancy's Rainbow Six Siege X,7,159
36,7 Days to Die,4,156
37,Phoenix Wright: Ace Attorney - Dual Destinies,2,150
38,Grand Theft Auto V,16,149
39,Genshin Impact,16,145
40,Honkai: Star Rail,13,143
41,Marvel Rivals,14,130
42,R.E.P.O.,9,120
43,Mahjong Soul,6,119
44,Don't Starve Together,1,113
45,Hollow Knight,3,112
46,Dragon Quest I & II HD-2D Remake,6,111
47,SILENT HILL ƒ,6,103
48,Dragon Quest Builders 2,2,100
49,Delta Force,14,97
50,Fortnite,19,92
