rank,name,streamers,viewers
1,Mamon King,7,74520
2,VALORANT,5,54032
3,League of Legends,14,13609
4,Escape from Tarkov,4,4588
5,ARC Raiders,8,4486
6,Dead by Daylight,3,4152
7,Street Fighter 6,3,3128
8,Just Chatting,6,2868
9,ELDEN RING NIGHTREIGN,4,1858
10,Teamfight Tactics,4,1777
11,Platform 6 Online,3,1766
12,Overwatch 2,5,1620
13,Minecraft,2,1128
14,Pokémon Legends: Z-A,2,1041
15,Parking Together!,1,914
16,ASMR,2,904
17,Resident Evil Zero,1,856
18,Shadowverse: Worlds Beyond,2,837
19,Black Desert,2,705
20,Leaf it Alone,1,617
21,Hearthstone,1,455
22,Momotaro Dentetsu 2: Anata no Machi mo Kitto aru,2,428
23,Eternal Return,1,404
24,Apex Legends,2,397
25,SILENT HILL ƒ,1,361
26,Heavy Rain,1,323
27,Tom Clancy's Rainbow Six Siege X,1,321
28,Dragon Quest I & II HD-2D Remake,1,273
29,Japan Stigmatized Property,1,257
30,"Yes, My Queen",1,249
31,Arena Breakout: Infinite,1,213
32,DJs,1,206
33,Super Smash Bros. Ultimate,1,187
34,Kirby Air Riders,1,175
35,Hyrule Warriors: Age of Imprisonment,1,174
36,"Animals, Aquariums, and Zoos",1,171
