rank,name,streamers,viewers
1,Shadowverse: Worlds Beyond,32,45467
2,League of Legends,285,21537
3,Minecraft,47,15193
4,Mamon King,13,13564
5,Street Fighter 6,66,12141
6,Just Chatting,96,4637
7,Dead by Daylight,57,4371
8,Overwatch 2,142,3919
9,VALORANT,223,3801
10,Teamfight Tactics,23,3650
11,Apex Legends,279,3253
12,Path of Exile 2,43,2355
13,ARC Raiders,74,2020
14,Escape from Tarkov,135,1987
15,Fallout: New Vegas,1,1838
16,Black Desert,18,1711
17,Eternal Return,9,1438
18,ELDEN RING NIGHTREIGN,36,1359
19,Hogwarts Legacy,14,885
20,Resident Evil Zero,1,714
21,FINAL FANTASY XIV ONLINE,41,591
22,Zenless Zone Zero,9,547
23,Genshin Impact,28,526
24,Art,28,512
25,PUBG: Black Budget,7,488
26,7 Days to Die,4,447
27,Splatoon 3,38,440
28,Lightyear Frontier,1,414
29,Retro,16,393
30,DJs,4,378
31,Pokémon Legends: Z-A,35,371
32,Clock Tower II: The Struggle Within,1,371
33,PUBG: BATTLEGROUNDS,16,359
34,Grand Theft Auto V,37,351
35, SEKIRO: SHADOWS DIE TWICE,4,339
36,Dragon Quest III: The Seeds of Salvation,1,324
37,Monster Hunter Wilds,42,313
38,Rust,16,311
39,Overcooked! 2,3,309
40,Jinro Metropolis,5,279
41,Marvel Rivals,13,254
42,Special Events,6,247
43,SILENT HILL ƒ,9,231
44,ASMR,11,224
45,Strinova,8,222
46,"Animals, Aquariums, and Zoos",4,214
47,Hearthstone,2,212
48,Diablo IV,5,211
49,Dark Souls: Remastered,12,190
50,Dark and Darker,6,177
