rank,name,streamers,viewers
1,League of Legends,127,40418
2,Street Fighter 6,114,33085
3,Just Chatting,161,20521
4,Escape from Tarkov,116,13391
5,Dragon Quest Monsters: Terry no Wonderland SP,1,11163
6,ARC Raiders,72,11103
7,VALORANT,284,10917
8,Bits & Bops,2,5335
9,Apex Legends,227,3106
10,FINAL FANTASY XIV ONLINE,143,2825
11,Jinro Metropolis,6,2519
12,Dragon Quest I & II HD-2D Remake,10,2459
13,Grand Theft Auto V,30,2400
14,Overwatch 2,122,2132
15,Satisfactory,5,2115
16,Monster Hunter Wilds,154,1609
17,Minecraft,45,1453
18,Hearthstone,6,1306
19,Mamon King,8,1249
20,Amagami,1,1062
21,Teamfight Tactics,14,1018
22,ASMR,11,987
23,Path of Exile 2,12,949
24,Dead by Daylight,72,851
25,Resident Evil Zero,1,830
26,Black Desert,9,826
27,Clair Obscur: Expedition 33,6,765
28,7 Days to Die,12,705
29,Deviation Game,6,580
30,Retro,9,530
31,ELDEN RING NIGHTREIGN,22,524
32,Genshin Impact,24,492
33,Pokémon Legends: Z-A,30,482
34,Music,19,471
35,Super Smash Bros. Ultimate,11,411
36,World of Tanks,13,404
37,Shadowverse: Worlds Beyond,11,382
38,Art,25,378
39,DJs,7,363
40,Delta Force,12,284
41,R.E.P.O.,16,283
42,Animal Crossing: New Horizons,12,274
43,Tom Clancy's Rainbow Six Siege X,14,265
44,The Legend of Zelda: Breath of the Wild,1,257
45,#COMPASS,1,247
46,Eternal Return,9,241
47,Zenless Zone Zero,10,232
48,Yakuza 4 Remastered,1,229
49,Dark and Darker,4,210
50,Strinova,11,201
